@MeasurementDateGMT,@LocalAuthorityName,@SiteCode,@SiteName,@SiteType,@SpeciesCode,@Value,@DateClosed,@DateOpened,@Latitude,@Longitude
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
,,BG3,,,PM10,,,,,
