Metric,Value
unique_stations,18
total_combinations,144
unique_pollutants,37
pollutant_distribution,"{'PM10': 15, 'PM2.5': 15, 'NO2': 14, 'NOx': 14, 'NO': 14, 'O3': 9, 'SO2': 3, 'n-Pentane': 2, 'm,p-Xylene': 2, 'n-Butane': 2, 'n-Heptane': 2, 'n-Hexane': 2, 'n-Octane': 2, 'Propene': 2, 'o-Xylene': 2, 'Propane': 2, 'i-Pentane': 2, 'Toluene': 2, 'trans-2-Butene': 2, 'trans-2-Pentene': 2, 'Isoprene': 2, 'Ethyne': 2, 'i-Octane': 2, 'i-Hexane': 2, 'i-Butane': 2, 'Ethylbenzene': 2, 'Ethene': 2, 'Ethane': 2, 'cis-2-Butene': 2, 'Benzene': 2, '1-Pentene': 2, '1-Butene': 2, '1,3-Butadiene': 2, '1,3,5-TMB': 2, '1,2,4-TMB': 2, '1,2,3-TMB': 2, 'CO': 2}"
expected_pairs,141
unique_locations,20
total_files,3563
files_by_year,"{'2023': 1431, '2024': 1193, '2025': 939}"
total_records,2525991
records_by_year,"{'2023': 1000126, '2024': 868320, '2025': 657545}"
missing_by_year,"{'2023': np.int64(90161), '2024': np.int64(101256), '2025': np.int64(30750)}"
total_missing,222167
overall_completeness,91.20475884514236
collected_pairs,141
missing_pairs,[]
missing_pairs_count,0
extra_pairs,[]
extra_pairs_count,0
